Chemical_Group_Name,EC_No,CAS_No,Annex
"dimethyl[.mu.-[sulphato(2-)-O:O']]dimercury","223-288-1","3810-81-9",""
"dimethylammonium 2,4,5-trichlorophenoxyacetate","228-874-0","6369-97-7",""
"dimethylcadmium","208-055-4","506-82-1",""
"dimethylmercury","209-805-3","593-74-8",""
"dinoseb","201-861-7","88-85-7",""
"dinoseb acetate","220-560-1","2813-95-8",""
"dioctylbis(pentane-2,4-dionato-O,O')tin","483-270-6","54068-28-9",""
"dioctyltin di(acetate)","241-555-0","17586-94-6",""
"dioctyltin dilaurate","222-883-3","3648-18-8",""
"dioctyltin maleate","240-253-6","16091-18-2",""
"dioctyltin oxide","212-791-1","870-08-6",""
"dioxobis(stearato)dilead","260-043-8","56189-09-4",""
"dioxobis(stearato)trilead","235-702-8","12578-12-0",""
"diphenyl[mu-[(tetrapropenyl)succinato(2-)-O:O']]dimercury","248-355-2","27236-65-3",""
"diphenyldiarsenic acid","224-845-1","4519-32-8",""
"diphenyliodonium hexafluoroarsenate","263-638-0","62613-15-4",""
"diphenyllead dichloride","218-325-3","2117-69-3",""
"diphenylmercury","209-606-1","587-85-9",""
"dipotassium [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']cadmate(2-)","239-801-7","15708-29-9",""
"dipotassium tetracyanomercurate","209-735-3","591-89-9",""
"dipotassium tetraiodomercurate","231-990-4","7783-33-7",""
"diquat","220-433-0","2764-72-9",""
"diquat dibromide","201-579-4","85-00-7",""
"disilver arsenide","274-573-2","70333-07-2",""
"disodium 3,3'-((3,3'-dimethyl(1,1'-biphenyl)-4,4'-diyl)bis(azo)bis(4-aminonaphthalene-1-sulphonate)","213-594-3","992-59-6",""
"disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)","209-358-4","573-58-0",""
"disodium 3-[(o-arsonophenyl)azo]-4,5-dihydroxynaphthalene-2,7-disulphonate","222-600-3","3547-38-4",""
"disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate","217-710-3","1937-37-7",""
"disodium 5-[[4'-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate","219-391-6","2429-82-5",""
"disodium 5-[[4'-[[1-hydroxy-7-(phenylamino)-3-sulphonato-2-naphthyl]azo][1,1'-biphenyl]-4-yl]azo]salicylate","222-450-9","3476-90-2",""
"disodium 8,8'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(7-hydroxynaphthalene-1-sulphonate)","218-959-0","2302-97-8",""
"disodium 8-((3,3'-dimethyl-4'-(4-(4-methylphenylsulphonyloxy)phenylazo)(1,1'-biphenyl)-4-yl)azo)-7-hydroxynaphthalene-1,3-disulphonate","229-272-0","6459-94-5",""
"disodium 8-[[4'-[(4-ethoxyphenyl)azo]-3,3'-dimethyl[1,1'-biphenyl]-4-yl]azo]-7-hydroxynaphthalene-1,3-disulphonate","228-766-3","6358-29-8",""
"disodium 8-[[4'-[(4-ethoxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-7-hydroxynaphthalene-1,3-disulphonate","222-560-7","3530-19-6",""
"disodium [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']cadmate(2-)","252-736-9","35803-35-1",""
"disodium hydrogenarsenate","231-902-4","7778-43-0",""
"disodium lead N,N'-ethylenebis[N-(carboxylatomethyl)aminoacetate]","245-314-0","22904-40-1",""
"disodium tetra(cyano-C)mercurate(2-)","239-766-8","15682-88-9",""
"disodium tetrakis(cyano-C)cadmate(2-)","239-765-2","15682-87-8",""
"disuccinimidomercury","209-537-7","584-43-0",""
"dysprosium arsenide","234-473-1","12005-81-1",""
"erbium arsenide","235-501-5","12254-88-5",""
"ethyl 2,4,5-trichlorophenoxyacetate","217-671-2","1928-39-8",""
"ethyliodomercury","219-471-0","2440-42-8",""
"ethylmercury chloride","203-478-0","107-27-7",""
"europium arsenide","251-206-4","32775-46-5",""
"fenbutatin oxide (ISO) (obsolete)","236-407-7","13356-08-6",""
"flupyrsulfuron-methyl-sodium (DPX KE 459)","","144740-54-5",""
"gadolinium arsenide","234-475-2","12005-89-9",""
"gallium arsenide","215-114-8","1303-00-0",""
"gallium zinc triarsenide","308-577-3","98106-56-0",""
"germanium arsenide","235-547-6","12271-72-6",""
"glufosinate","257-102-5","51276-47-2",""
"glufosinate-ammonium","278-636-5","77182-82-2",""
"heptabromodiphenyl ether","","68928-80-3",""
"heptachloro-1,1'-biphenyl","249-129-6","28655-71-2",""
"heptadecafluoro-N-(2-hydroxyethyl)-N-methyloctanesulphonamide","246-262-1","24448-09-7",""
"heptadecafluoro-N-methyloctanesulphonamide","250-665-8","31506-32-8",""
"heptadecafluorooctane-1-sulphonic acid","217-179-8","1763-23-1",""
"heptadecafluorooctanesulphonic acid, compound with 2,2'-iminodiethanol (1:1)","274-460-8","70225-14-8",""
"heptadecafluorooctanesulphonyl fluoride","206-200-6","307-35-7",""
"hexabromodiphenyl ether","","36483-60-0",""
"hexabutyldistannane","212-383-3","813-19-4",""
"hexabutyldistannathiane","225-369-7","4808-30-4",""
"hexaphenyldiplumbane","221-505-4","3124-01-4",""
"hexyl (2,4,5-trichlorophenoxy)acetate","220-108-3","2630-13-9",""
"holmium arsenide","234-476-8","12005-92-4",""
"hydrargaphen","238-107-1","14235-86-0",""
"hydrogen [3-[(.alpha.-carboxylato-o-anisoyl)amino]-2-hydroxypropyl]hydroxymercurate(1-)","247-796-8","26552-50-1",""
"hydrogen [4-[(5-chloro-4-methyl-2-sulphophenyl)azo]-3-hydroxynaphthalene-2-carboxylato(3-)]cadmate(1-)","273-461-0","68966-97-2",""
"hydrogen [metasilicato(2-)-O](2-methoxyethyl)mercurate(1-)","264-920-6","64491-92-5",""
"hydrogen hexafluoroarsenate","241-128-9","17068-85-8",""
"hydrogen mu-hydroxy[mu-[orthoborato(3-)-O:O']]diphenyldimercurate(1-)","304-637-8","94277-53-9",""
"hydrogen triiodomercurate(1-), compound with 3-methyl-3H-benzothiazol-2-imine (1:1)","276-613-4","72379-35-2",""
"hydroxymercuri-o-nitrophenol","","17140-73-7",""
"indium arsenide","215-115-3","1303-11-3",""
"iodo(iodomethyl)mercury","205-485-4","141-51-5",""
"iodomethylmercury","205-600-8","143-36-2",""
"iron arsenate","233-274-7","10102-49-5",""
"iron arsenide","234-947-8","12044-16-5",""
"iron bis(arsenate)","233-275-2","10102-50-8",""
"iron diarsenide","234-485-7","12006-21-2",""
"isobutyl (Z,Z)-10,10-dibutyl-2-methyl-5,8,12-trioxo-4,9,11-trioxa-10-stannapentadeca-6,13-dien-15-oate","261-812-0","59571-08-3",""
"isobutyl 2,4,5-trichlorophenoxyacetate","225-580-4","4938-72-1",""
"isononylphenol","234-284-4","11066-49-2",""
"isooctyl (2,4,5-trichlorophenoxy)acetate","246-700-1","25168-15-4",""
"isopropyl (Z,Z)-9,9-dibutyl-2-methyl-4,7,11-trioxo-3,8,10-trioxa-9-stannatetradeca-5,12-dien-14-oate","245-061-6","22535-42-8",""
"isopropyl 2,4,5-trichlorophenoxyacetate","202-275-4","93-78-7",""
"lactatophenylmercury","204-560-9","122-64-5",""
"lanthanum arsenide","235-502-0","12255-04-8",""
"lauric acid, barium cadmium salt","239-371-0","15337-60-7",""
"lead 2,4,6-trinitro-m-phenylene dioxide","239-290-0","15245-44-0",""
"lead 2,4-dihydroxybenzoate","244-118-2","20936-32-7",""
"lead arsenite","233-083-9","10031-13-7",""
"lead bis(2,4-dihydroxybenzoate)","255-375-5","41453-50-3",""
"lead bis(2-ethylhexanoate)","206-107-0","301-08-6",""
"lead bis(4-cyclohexylbutyrate)","263-663-7","62637-99-4",""
"lead bis(dimethyldithiocarbamate)","242-748-2","19010-66-3",""
"lead bis(tetrafluoroborate)","237-486-0","13814-96-5",""
"lead carbonate","209-943-4","598-63-0",""
"lead carbonate","247-054-3","25510-11-6",""
"lead chromate","231-846-0","7758-97-6",""
"lead chromate molybdate sulfate red","","12656-85-8",""
"lead cyanamidate","244-073-9","20837-86-9",""
"lead di(acetate)","206-104-4","301-04-2",""
"lead diazide","236-542-1","13424-46-9",""
"lead dibromide","233-084-4","10031-22-8",""
"lead dichloride","231-845-5","7758-95-4",""
"lead difluoride","231-998-8","7783-46-2",""
"lead diformate","212-371-8","811-54-1",""
"lead diiodide","233-256-9","10101-63-0",""
"lead dinitrate","233-245-9","10099-74-8",""
"lead dioxide","215-174-5","1309-60-0",""
"lead diperchlorate","237-125-7","13637-76-8",""
"lead dipicrate","229-335-2","6477-64-1",""
"lead disalicylate","239-839-4","15748-73-9",""
"lead distearate","214-005-2","1072-35-1",""
"lead dithiocyanate","209-774-6","592-87-0",""
"lead divanadium hexaoxide","233-248-5","10099-79-3",""
"lead hexafluorosilicate","247-278-1","25808-74-6",""
"lead hydrogen arsenate","232-064-2","7784-40-9",""
"lead hydrogen arsenate","232-064-2","7784-40-9",""
"lead hydrogenorthophosphate","239-952-9","15845-52-0",""
"lead hydroxide","243-310-3","19783-14-3",""
"lead metaborate","238-762-3","14720-53-7",""
"lead molybdate","233-459-2","10190-55-3",""
"lead monoxide","215-267-0","1317-36-8",""
"lead oxalate","212-413-5","814-93-7",""
"lead oxide sulfate","234-853-7","12036-76-9",""
"lead phosphite","240-176-8","16038-76-9",""
"lead phthalate","229-927-0","6838-85-3",""
"lead selenate","231-199-4","7446-15-3",""
"lead selenide","235-109-4","12069-00-0",""
"lead silicate","245-090-4","22569-74-0",""
"lead sulfochromate yellow","215-693-7","1344-37-2",""
"lead sulphate","231-198-9","7446-14-2",""
"lead sulphide","215-246-6","1314-87-0",""
"lead sulphite","231-196-8","7446-10-8",""
"lead tartrate","212-426-6","815-84-9",""
"lead telluride","215-247-1","1314-91-6",""
"lead tetraacetate","208-908-0","546-67-8",""
"lead thiosulphate","236-780-6","13478-50-7",""
"lead tin trioxide","234-844-8","12036-31-6",""
"lead titanium trioxide","235-038-9","12060-00-3",""
"lead tungsten tetraoxide","231-849-7","7759-01-5",""
"lead zirconium trioxide","235-039-4","12060-01-4",""
"lead(2+) 2,4-dinitroresorcinolate","236-498-3","13406-89-8",""
"lead(2+) acrylate","212-760-2","867-47-0",""
"lead(2+) methacrylate","213-949-2","1068-61-7",""
"lead(2+) tellurium tetraoxide","237-573-3","13845-35-7",""
"lead(II) bis(methanesulfonate)","401-750-5","17570-76-2",""
"lead(II) perchlorate trihydrate","","13453-62-8",""
"lead(IV) fluoride","232-012-9","7783-59-7",""
"lead, bis(acetato-O)tetrahydroxytri-","215-630-3","1335-32-6",""
"lithium heptadecafluorooctanesulphonate","249-644-6","29457-72-5",""
"lithium hexafluoroarsenate","249-963-0","29935-35-1",""
"lutetium arsenide","234-477-3","12005-94-6",""
"manganese arsenide","234-478-9","12005-95-7",""
"manganese hydrogenarsenate","232-063-7","7784-38-5",""
"meralein sodium","224-498-6","4386-35-0",""
"merbromin","204-933-6","129-16-8",""
"mercaptomerin sodium","244-298-2","21259-76-7",""
"mercuderamide","208-371-2","525-30-4",""
"mercurobutol","207-869-7","498-73-7",""
"mercurous oxide","239-934-0","15829-53-5",""
"mercury","231-106-7","7439-97-6",""
"mercury (I) nitrate dihydrate","233-886-4","14836-60-3",""
"mercury acetate","209-766-2","592-63-2",""
"mercury bis(2-ethylhexanoate)","236-113-9","13170-76-8",""
"mercury bis(4-chlorobenzoate)","239-548-2","15516-76-4",""
"mercury bis(trifluoroacetate)","236-250-4","13257-51-7",""
"mercury chloride","231-430-9","7546-30-7",""
"mercury di(acetate)","216-491-1","1600-27-7",""
"mercury dibenzoate","209-499-1","583-15-3",""
"mercury dibromide","232-169-3","7789-47-1",""
"mercury dichromate","232-144-7","7789-10-8",""
"mercury dicyanide","209-741-6","592-04-1",""
"mercury difluoride","231-994-6","7783-39-3",""
"mercury difulminate","211-057-8","628-86-4",""
"mercury diiodate","231-989-9","7783-32-6",""
"mercury diiodide","231-873-8","7774-29-0",""
"mercury dinitrate","233-152-3","10045-94-0",""
"mercury dioleate","214-741-4","1191-80-6",""
"mercury diperchlorate","231-525-5","7616-83-3",""
"mercury dipotassium tetrathiocyanate","237-949-7","14099-12-8",""
"mercury disilver tetraiodide","232-045-9","7784-03-4",""
"mercury distearate","211-458-8","645-99-8",""
"mercury dithiocyanate","209-773-0","592-85-8",""
"mercury fluoride","248-538-7","27575-47-9",""
"mercury hydrogen cyclohexanebutyrate","263-665-8","62638-02-2",""
"mercury hydrogenarsenate","232-062-1","7784-37-4",""
"mercury iodide","231-988-3","7783-30-4",""
"mercury monoxide","244-654-7","21908-53-2",""
"mercury pentanedione","","14024-55-6",""
"mercury phenate","","588-66-9",""
"mercury selenide","243-910-5","20601-83-6",""
"mercury silver iodide","235-601-9","12344-40-0",""
"mercury succinate","209-656-4","589-65-1",""
"mercury sulphate","231-992-5","7783-35-9",""
"mercury telluride","235-108-9","12068-90-5",""
"mercury thallium dinitrate","301-543-9","94022-47-6",""
"mercury(1+) bromate","236-694-9","13465-33-3",""
"mercury(1+) ethyl sulphate","275-904-3","71720-55-3",""
"mercury(1+) trifluoroacetate","220-875-4","2923-15-1",""
"mercury(2+) (9Z,12Z)-octadeca-9,12-dienoate","231-814-6","7756-49-2",""
"mercury(2+) chloroacetate","247-925-8","26719-07-3",""
"mercury(2+) tetrakis(thiocyanato-N)cobaltate(2-)","248-602-4","27685-51-4",""
"mercury(II) oxalate","222-356-8","3444-13-1",""
"mercury(II) sulfide","215-696-3","1344-48-5",""
"mercury, compound with titanium (1:3)","234-306-2","11083-41-3",""
"mersalyl","207-748-9","492-18-2",""
"mersalyl acid","207-637-5","486-67-9",""
"methyl (Z,Z)-8,8-dibutyl-3,6,10-trioxo-2,7,9-trioxa-8-stannatrideca-4,11-dien-13-oate","239-594-3","15546-11-9",""
"methyl 2,4,5-trichlorophenoxyacetate","217-669-1","1928-37-6",""
"methyl [(4-aminophenyl)sulphonyl]carbamate","222-077-1","3337-71-1",""
"methyl(pentachlorophenolato)mercury","227-596-7","5902-76-1",""
"methylmercury 2,3 dihydoxypropyl mercaptide","","2597-95-7",""
"methylmercury 8-quinolinolate","","86-85-1",""
"methylmercury benzoate","222-834-6","3626-13-9",""
"methylmercury hydroxide","214-667-2","1184-57-2",""
"methylmercury nitrile","","2597-97-9",""
"methylmercury nitrite","","2338-22-9",""
"neoarsphenamine","207-273-7","457-60-3",""
"neodymium arsenide","235-504-1","12255-09-3",""
"nickel arsenide","248-169-1","27016-75-7",""
"nickel diarsenide","235-103-1","12068-61-0",""
"niobium arsenide","235-503-6","12255-08-2",""
"nitarsone","202-695-8","98-72-6",""
"nonabromo-1,1'-biphenyl","248-637-5","27753-52-2",""
"nonachloro-1,1'-biphenyl","258-738-6","53742-07-7",""
"nonyl (2,4,5-trichlorophenoxy)acetate","220-110-4","2630-16-2",""
"nonylphenol","246-672-0","25154-52-3",""
"octafluoro-4,4'-biphenylenediamine","213-861-4","1038-66-0",""
"octyl (2,4,5-trichlorophenoxy)acetate","220-109-9","2630-15-1",""
"octyl (Z,Z)-6,6-dibutyl-4,8,11-trioxo-5,7,12-trioxa-6-stannaicosa-2,9-dienoate","241-107-4","17036-31-6",""
"orange lead","215-235-6","1314-41-6",""
"otimerate sodium","240-572-0","16509-11-8",""
"oxophenarsine","206-178-8","306-12-7",""
"oxophenarsine hydrochloride","208-682-3","538-03-4",""
"p-nonylphenol","203-199-4","104-40-5",""
"p-tolylmercury chloride","208-716-7","539-43-5",""
"pentabromodiphenyl ether","","32534-81-9",""
"pentacadmium chloridetriphosphate","235-353-1","12185-64-7",""
"pentachloro[1,1'-biphenyl]","246-974-2","25429-29-2",""
"pentachlorophenol","201-778-6","87-86-5",""
"pentachlorophenyl N-[[(4-methoxyphenyl)methoxy]carbonyl]-L-serinate","245-508-5","23234-97-1",""
"pentachlorophenyl laurate","223-220-0","3772-94-9",""
"pentafluoroarsorane","232-061-6","7784-36-3",""
"pentahydroxyarsorane","232-096-7","7786-36-9",""
"pentalead tetraoxide sulphate","235-067-7","12065-90-6",""
"pentapotassium hydrogen [[[ethylenebis[nitrilobis(methylene)]]tetrakis[phosphonato]](8-)]cadmate(6-)","269-685-3","68309-98-8",""
"pentyl (2,4,5-trichlorophenoxy)acetate","204-392-6","120-39-8",""
"perchlorophenyl 5-oxo-L-prolinate","249-360-2","28990-85-4",""
"perchlorophenyl N-(benzyloxycarbonyl)-L-isoleucinate","237-156-6","13673-53-5",""
"perchlorophenyl S-benzyl-N-(benzyloxycarbonyl)-L-cysteinate","237-157-1","13673-54-6",""
"phenyl(quinolin-8-olato-N1,O8)mercury","238-316-8","14354-56-4",""
"phenyl(tribromomethyl)mercury","221-963-5","3294-60-8",""
"phenyl(trichloromethyl)mercury","221-960-9","3294-57-3",""
"phenylarsine oxide","211-275-3","637-03-6",""
"phenylarsonic acid","202-631-9","98-05-5",""
"phenylmercuric ammonium acetate","","53404-67-4",""
"phenylmercuric ammonium propionate","","53404-68-5",""
"phenylmercuric carbonate","","53404-69-6",""
"phenylmercuric formamide","","22894-47-9",""
"phenylmercuric monoethanol ammonium acetate","","5822-97-9",""
"phenylmercuric monoethanol ammonium lactate","","53404-70-9",""
"phenylmercuric oleate","","104-68-9",""
"phenylmercuric thiocyanate","","16751-55-6",""
"phenylmercuric-8-quinolinate","","26114-17-0",""
"phenylmercury acetate","200-532-5","62-38-4",""
"phenylmercury benzoate","202-331-8","94-43-9",""
"phenylmercury chloride","202-865-1","100-56-1",""
"phenylmercury dimethyldithiocarbamate","251-026-6","32407-99-1",""
"phenylmercury hydroxide","202-866-7","100-57-2",""
"phenylmercury nitrate","200-242-9","55-68-5",""
"phenylmercury propionate","203-094-3","103-27-5",""
"phenylmercury salicylate","248-828-3","28086-13-7",""
"phenylmercury stearate","203-217-0","104-59-6",""
"phosphoric acid, mercury salt","233-939-1","10451-12-4",""
"potassium 2,3,4,5-tetrachloro-6-[[[3-[[(heptadecafluorooctyl)sulphonyl]oxy]phenyl]amino]carbonyl]benzoate","260-837-4","57589-85-2",""
"potassium 2,4,5-trichlorophenoxyacetate","253-667-7","37785-57-2",""
"potassium [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']cadmate(1-)","256-488-2","49784-42-1",""
"potassium arsenite","236-680-2","13464-35-2",""
"potassium dihydrogenarsenate","232-065-8","7784-41-0",""
"potassium heptadecafluorooctane-1-sulphonate","220-527-1","2795-39-3",""
"potassium hexafluoroarsenate","241-102-7","17029-22-0",""
"potassium pentachlorophenolate","231-911-3","7778-73-6",""
"potassium salt of DNOC","","5787-96-2",""
"potassium triiodomercurate(1-)","244-913-4","22330-18-3",""
"praseodymium arsenide","234-953-0","12044-28-9",""
"propineb","235-134-0","12071-83-9",""
"propyl 2,4,5-trichlorophenoxyacetate","217-672-8","1928-40-1",""
"pyridazine-3,6-diol","204-619-9","123-33-1",""
"pyrochlore, antimony lead yellow","232-382-1","8012-00-8",""
"rel-(1R,2R,5R,6S,9R,10S)-1,2,5,6,9,10-hexabromocyclododecane","","134237-51-7",""
"rel-(1R,2R,5R,6S,9S,10R)-1,2,5,6,9,10-hexabromocyclododecane","","134237-52-8",""
"rel-(1R,2R,5S,6R,9R,10S)-1,2,5,6,9,10-hexabromocyclododecane","","134237-50-6",""
"salts of biphenyl-4-ylamine","","",""
"samarium arsenide","235-506-2","12255-39-9",""
"sodium 2,4,5-trichlorophenoxyacetate","236-949-4","13560-99-1",""
"sodium 2-(1-methylpropyl)-4,6-dinitrophenolate","252-331-7","35040-03-0",""
"sodium 4-chloromercuriobenzoate","221-700-4","3198-04-7",""
"sodium 4-hydroxymercuriobenzoate","205-340-5","138-85-2",""
"sodium [3-[[(3-carboxylatopropionamido)carbonyl]amino]-2-methoxypropyl]hydroxymercurate(1-)","231-532-3","7620-30-6",""
"sodium dioxoarsenate","232-070-5","7784-46-5",""
"sodium hydrogen 4-aminophenylarsonate","204-869-9","127-85-5",""
"sodium mercury amalgam","","11110-52-4",""
"sodium metaarsenate","239-171-3","15120-17-9",""
"sodium methyl [(4-aminophenyl)sulphonyl]carbamate","218-953-8","2302-17-2",""
"sodium pentachlorophenolate","205-025-2","131-52-2",""
"sodium salt of DNOC","219-007-7","2312-76-7",""
"sodium timerfonate","227-741-4","5964-24-9",""
"sodium tributylstannolate","288-887-2","85938-52-9",""
"stearic acid, lead salt","231-068-1","7428-48-0",""
"strychnine arsenate","233-970-0","10476-82-1",""
"sulfarsphenamine","210-564-1","618-82-6",""
"terbium arsenide","234-479-4","12006-08-5",""
"tetra-mu-chlorodichlorobis[2-[[(2,3-dihydroxypropoxy)hydroxyphosphinyl]oxy]triethylmethylammoniumato]tricadmium, stereoisomer","276-100-5","71861-27-3",""
"tetrabromo(tetrabromophenyl)benzene","248-696-7","27858-07-7",""
"tetrabromodiphenyl ether","","40088-47-9",""
"tetrabutylplumbane","217-649-2","1920-90-7",""
"tetrachloro(tetrachlorophenyl)benzene","250-646-4","31472-83-0",""
"tetraethylammonium heptadecafluorooctanesulphonate","260-375-3","56773-42-3",""
"tetrakis(acetato-O)[mu4-(3',6'-dihydroxy-3-oxospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-2',4',5',7'-tetrayl)]tetramercury","259-075-5","54295-90-8",""
"tetralead trioxide sulphate","235-380-9","12202-17-4",""
"tetraphenyllead","209-871-3","595-89-1",""
"tetrapotassium [[[nitrilotris(methylene)]tris[phosphonato]](6-)-N,O,O'',O'''']cadmate(6-)","268-020-4","67989-93-9",""
"tetrasodium 3,3'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]","200-786-7","72-57-1",""
"tetrasodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]","220-012-1","2602-46-2",""
"tetrasodium 6,6'-((3,3'-dimethyl-(1,1'-biphenyl-4,4'diyl)bis(azo)bis(4-amino-5-hydroxy-1,3-naphthalenedisulphonate)","206-242-5","314-13-6",""
"thallium arsenide","234-481-5","12006-09-6",""
"thallium triarsenide","281-902-3","84057-85-2",""
"thulium arsenide","234-482-0","12006-10-9",""
"trans-1,2-Bis(tri-n-butylstannyl)ethylene","","14275-61-7",""
"tri(2-hydroxyethyl)ammonium (2,4,5-trichlorophenoxy)acetate","223-300-5","3813-14-7",""
"tri-n-butyltin hydride","211-704-4","688-73-3",""
"tri-n-butyltin methanolate","213-933-5","1067-52-3",""
"triammonium arsenate","246-428-3","24719-13-9",""
"triantimony arsenide","235-505-7","12255-36-6",""
"tribarium diarsenate","236-762-8","13477-04-8",""
"tribarium diarsenide","235-508-3","12255-50-4",""
"tributyl(2,4,5-trichlorophenoxy)stannane","277-638-3","73927-98-7",""
"tributyl(4-fluorophenyl)stannane","","17151-47-2",""
"tributyl(isodecanoyloxy)stannane","300-977-6","93965-27-6",""
"tributyl(isononanoyloxy)stannane","300-971-3","93965-22-1",""
"tributyl(isoundecanoyloxy)stannane","299-691-1","93893-98-2",""
"tributyl(lauroyloxy)stannane","221-434-9","3090-36-6",""
"tributyl(myristoyloxy)stannane","225-727-2","5035-68-7",""
"tributyl(neodecanoyloxy)stannane","249-232-6","28801-69-6",""
"tributyl(nicotinoyloxy)stannane","248-309-1","27189-59-9",""
"tributyl(nonylphenoxy)stannane","300-673-3","93951-53-2",""
"tributyl(octanoyloxy)stannane","234-226-8","10603-63-1",""
"tributyl(oleoyloxy)stannane","221-433-3","3090-35-5",""
"tributyl(palmitoyloxy)stannane","231-618-0","7653-28-3",""
"tributyl(pentachlorophenoxy)stannane","222-873-9","3644-38-0",""
"tributyl(stearoyloxy)stannane","223-699-6","4027-13-8",""
"tributyl(tert-decanoyloxy)stannane","298-515-0","93805-32-4",""
"tributyl(trichloroacetoxy)stannane","224-398-2","4342-33-0",""
"tributyl(undec-10-enoyloxy)stannane","249-643-0","29457-48-5",""
"tributyl[(2,3-dibromo-2-methylpropionyl)oxy]stannane","284-301-4","84837-25-2",""
"tributyl[(2-ethylhexanoyl)oxy]stannane","225-726-7","5035-67-6",""
"tributyl[(diethylthiocarbamoyl)thio]stannane","227-437-1","5847-53-0",""
"tributyl[(dimethylthiocarbamoyl)thio]stannane","266-560-5","67057-32-3",""
"tributyl[(ethylsulphonyl)oxy]stannane","272-108-8","68725-15-5",""
"tributyl[(p-tert-butylbenzoyl)oxy]stannane","301-734-7","94042-69-0",""
"tributyl[3-(trifluoromethyl)phenyl]stannane","","53566-38-4",""
"tributyl[[(p-dodecylphenyl)sulphonyl]oxy]stannane","288-886-7","85938-51-8",""
"tributylcyclopenta-2,4-dienylstannane","223-469-5","3912-86-5",""
"tributylmethylstannane","216-202-9","1528-01-4",""
"tributylphenoxystannane","222-721-1","3587-18-6",""
"tributylstannyl salicylate","224-397-7","4342-30-7",""
"tributylthiocyanatostannane","245-807-0","23654-14-0",""
"tributyltin acetate","200-269-6","56-36-0",""
"tributyltin bromide","215-959-2","1461-23-0",""
"tributyltin hydroxide","213-939-8","1067-97-6",""
"tributyltin iodide","","7342-47-4",""
"tributylvinylstannane","231-291-4","7486-35-3",""
"tricadmium bis(phosphate)","236-764-9","13477-17-3",""
"tricadmium diphosphide","234-595-5","12014-28-7",""
"tricalcium diarsenide","235-509-9","12255-53-7",""
"tricalcium diarsenite","248-266-9","27152-57-4",""
"tricobalt diarsenate","246-429-9","24719-19-5",""
"tricopper arsenide","234-472-6","12005-75-3",""
"triethyl arsenite","221-543-1","3141-12-6",""
"triethylammonium (2,4,5-trichlorophenoxy)acetate","217-917-9","2008-46-0",""
"triethyltin bromide","220-443-5","2767-54-6",""
"triethyltin chloride","213-616-1","994-31-0",""
"triethyltin hydroxide","213-617-7","994-32-1",""
"trifluoroarsine","232-060-0","7784-35-2",""
"triisooctyl 2,2',2''-[(1,1,3-tributyldistannathian-1-yl-3-ylidene)tris(thio)]triacetate","251-645-1","33703-04-7",""
"trilead bis(carbonate) dihydroxide","215-290-6","1319-46-6",""
"trilead bis(orthophosphate)","231-205-5","7446-27-7",""
"trilead diarsenate","222-979-5","3687-31-8",""
"trilead diarsenate","222-979-5","3687-31-8",""
"trilead dicitrate","208-141-1","512-26-5",""
"trilead dioxide phosphonate","235-252-2","12141-20-7",""
"trilithium arsenate","236-773-8","13478-14-3",""
"trilithium arsenide","234-950-4","12044-22-3",""
"trimagnesium diarsenide","234-954-6","12044-49-4",""
"trimanganese arsenide","262-667-6","61219-26-9",""
"trimercury biscitrate","242-096-9","18211-85-3",""
"trimercury dioxide sulphate","215-191-8","1312-03-4",""
"trinickel bis(arsenate)","236-771-7","13477-70-8",""
"triphenylsulphonium hexafluoroarsenate(1-)","261-009-5","57900-42-2",""
"triphenyltin chloride","211-358-4","639-58-7",""
"triphenyltin hydride","212-967-8","892-20-6",""
"tripotassium arsenide","234-949-9","12044-21-2",""
"tripropyltin compounds, with the exception of those specified elsewhere in this Annex","","",""
"tris(ethylenediamine)cadmium dihydroxide","238-945-8","14874-24-9",""
"tris(ethylmercury) phosphate","218-790-2","2533-93-9",""
"tris(pentane-2,4-dionato-O,O')silicon hexafluoroarsenate","266-621-6","67251-38-1",""
"tris[(8.alpha.)-6'-methoxycinchonan-9(R)-ol] arsenite","303-002-2","94138-87-1",""
"tris[(8.alpha.,9R)-6'-methoxycinchonan-9-ol] bis(arsenate)","208-971-4","549-59-7",""
"trisilver arsenate","236-841-7","13510-44-6",""
"trisilver arsenide","235-652-7","12417-99-1",""
