"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"69669-44-9","3-1906","Alkyl(C=10-14) derivatives of sodium benzenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"69782-90-7","","2,3,3',4,4',5'-hexachlorobiphenyl","Class I specified chemical substance","O"
"69782-91-8","","2,3,3',4',5,5',6-heptachlorobiphenyl","Class I specified chemical substance","O"
"69897-43-4","2-3704","2,2,6,6-Tetramethylheptan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"69897-43-4","2-217","2,2,6,6-Tetramethylheptan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70178-78-8","2-3704","2,2,3-Trimethylnonan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70178-78-8","2-217","2,2,3-Trimethylnonan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70178-79-9","2-3704","4,6-Dimethylundecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70178-79-9","2-217","4,6-Dimethylundecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70214-69-6","2-217","2,5,7-Trimethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70214-69-6","2-3704","2,5,7-Trimethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70214-77-6","2-3704","6,8-dimethylnonan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70214-77-6","2-217","6,8-dimethylnonan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70225-14-8","","Compound of 2,2'-iminodiethanol and perfluorooctane-1-sulfonic acid (1:1)","Class I specified chemical substance","O"
"70290-05-0","3-146","N-(Dimethylphenyl)-N'-tolyl-1,4-phenylenediamine","Existing chemical substances|Class I specified chemical substance","O"
"70358-78-0","2-3704","3,4,5,6-Tetramethyloctan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70358-78-0","2-217","3,4,5,6-Tetramethyloctan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70358-81-5","2-217","3,4,5,6-Tetramethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70358-81-5","2-3704","3,4,5,6-Tetramethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70358-83-7","2-3704","4,5,6-Trimethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70358-83-7","2-217","4,5,6-Trimethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70358-86-0","2-3704","2,3,4,5-Tetramethylheptan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70358-86-0","2-217","2,3,4,5-Tetramethylheptan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70358-89-3","2-217","3,4,5,6-Tetramethylheptan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70358-89-3","2-3704","3,4,5,6-Tetramethylheptan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"70362-41-3","","2,3,3',4,5'-pentachlorobiphenyl","Class I specified chemical substance","O"
"70362-45-7","","2,2',3,6-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70362-46-8","","2,2',3,5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70362-47-9","","2,2',4,5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70362-48-0","","2,3',4',5'-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70362-49-1","","3,3',4,5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70362-50-4","","3,4,4',5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70424-67-8","","2,3,3',5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"70424-68-9","","2,3,3',4',5-pentachlorobiphenyl","Class I specified chemical substance","O"
"70424-69-0","","2,3,3',4,5-pentachlorobiphenyl","Class I specified chemical substance","O"
"70424-70-3","","2,3',4',5,5'-pentachlorobiphenyl","Class I specified chemical substance","O"
"70495-37-3","","Ammonium 2-ethylhexyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"70592-80-2","2-198","(C10-16-Alkyl)dimethylamine N-oxides","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70632-06-3","7-114","Sodium salt of alkyl(C=12-18) ether of alpha-(carboxymethyl)-omega-hydroxypoly(oxyethylene)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70709-94-3","7-97","2-(Pentadecyloxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"70729-87-2","","Compound of N-dodecyldimethylamine and isooctadecanoic acid","Priority Assessment Chemical Substances (PACSs)||","O"
"70750-63-9","","Dimethyl(dioctadecan-1-yl)ammonium (SP-4-2)-(phthalocyanine-29,31-diide-2-sulfonato-kappa(4)N(29),N(30),N(31),N(32))cuprate(1-)","Priority Assessment Chemical Substances (PACSs)||","O"
"70776-03-3","4-317","Naphthalene, chloro derivatives","Class I specified chemical substance|","O"
"70850-90-7","7-155","Sodium salt of {tridecyl ether of [(polymer of 2-methyloxirane / oxirane) hydrogen sulfate]}","Priority Assessment Chemical Substances (PACSs)|","O"
"70879-83-3","7-97","Ethoxylated alcohols(C=6-10)","Priority Assessment Chemical Substances (PACSs)|","O"
"70969-43-6","9-1677","Potassium salt of palm kernel oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"70969-43-6","2-611","Potassium salt of palm kernel oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"71011-10-4","7-97","Ethoxylated alcohols(C=14-26)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"71011-12-6","2-68","Chloroalkanes(C=12-13)","Class I specified chemical substance|","O"
"71060-57-6","7-97","Ethoxylated alcohols(C=8-10)","Priority Assessment Chemical Substances (PACSs)|","O"
"71076-86-3","2-217","C6-9 Alcohols","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"71155-97-0","","Compound of decyl dihydrogen phosphate and morpholine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"71243-46-4","7-97","Ethoxylated alcohols(C=8-16)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"71302-67-5","","Compound of octadecyl dihydrogen phosphate and 2,2',2''-nitrilotriethanol (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"71317-58-3","","Compound of decyl hydrogen sulfate and propan-2-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"71371-60-3","","Compound of 2,2',2''-nitrilotriethanol and tridecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"71463-74-6","","Piperidin-1-ium perfluorooctane-1-sulfonate","Class I specified chemical substance","O"
"71526-27-7","2-3704","3-Methylundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"71526-27-7","2-217","3-Methylundecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"71612-12-9","2-217","4-Methylundecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"71612-12-9","2-3704","4-Methylundecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"71621-77-7","2-217","5,7,7-Trimethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"71621-77-7","2-3704","5,7,7-Trimethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"71911-41-6","4-67","(R)-4-Isopropenyl-1-methylcyclohex-1-ene dimer","Existing chemical substances|Monitoring Chemical Substances","O"
"72016-32-1","3-2522","Di-3-tolyl 4-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"72016-32-1","3-3363","Di-3-tolyl 4-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"72016-32-1","3-2613","Di-3-tolyl 4-tolyl phosphate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"72416-87-6","4-18","3,4',5-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"72629-94-8","2-2658","Perfluorotridecanoic acid","Existing chemical substances|Monitoring Chemical Substances","O"
"72629-94-8","2-2659","Perfluorotridecanoic acid","Existing chemical substances|Monitoring Chemical Substances","O"
"72905-87-4","7-97","Ethoxylated alcohols(C=13-18)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"72906-11-7","2-1679","Sodium C9-13-alkyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"72928-20-2","","Compound of 2-aminoethanol and dodecyl dihydrogen phosphate (2:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"73003-73-3","","Compound of 2-aminoethanol and tridecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"73010-88-5","2-217","2,5,7,7-Tetramethyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73010-88-5","2-3704","2,5,7,7-Tetramethyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"73049-82-8","2-766","Tallow ester of pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"73049-82-8","2-642","Tallow ester of pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"73070-48-1","","Compound of 2-ethylhexyl dihydrogen phosphate and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"73105-71-2","2-217","3-Methyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73105-71-2","2-3704","3-Methyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"73105-79-0","2-217","7-Methyldodecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73105-79-0","2-3704","7-Methyldodecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"73138-40-6","2-2491","Ester of coco fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"73138-40-6","2-769","Ester of coco fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"73141-48-7","4-18","2,2',3,4',5'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"73296-89-6","2-1679","Sodium C12-16-alkyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"73398-63-7","7-97","Monoalkyl(C=1-24) ether of polyoxyalkylenes(C=2-4 and C=8)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"73455-75-1","","Compounds of hydrogen (phthalocyanine-29,31-diide-sulfonato-kappa(4)N(29),N(30),N(31),N(32))cuprate(1-) with dodecan-1-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"73497-82-2","","Hydrazine diperchlorate dihydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"73507-37-6","","Compounds of {Chlorinated [hydrogen (phthalocyanine-29,31-diide-sulfonato-kappa(4)N(29),N(30),N(31),N(32))cuprate(1-)]} with dodecan-1-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"73510-85-7","","Compound of N,N-diethylethanamine and  (polymer of butyl acrylate / 2-methylenesuccinic acid / methyl methacrylate / styrene)","Priority Assessment Chemical Substances (PACSs)||","O"
"73575-52-7","","2,3',4,5'-tetrachlorobiphenyl","Class I specified chemical substance","O"
"73575-53-8","","2,3',4,5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"73575-54-9","","2,2',3,6,6'-pentachlorobiphenyl","Class I specified chemical substance","O"
"73575-55-0","","2,2',3,5,6'-pentachlorobiphenyl","Class I specified chemical substance","O"
"73575-56-1","","2,2',3,5,6-pentachlorobiphenyl","Class I specified chemical substance","O"
"73575-57-2","","2,2',3,4,6'-pentachlorobiphenyl","Class I specified chemical substance","O"
"73602-61-6","","N,N-Diethylethanamine trihydrofluoride","Priority Assessment Chemical Substances (PACSs)||","O"
"73602-70-7","3-1884","Sodium 4-(tridecan-3-yl)benzenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"73602-70-7","3-1906","Sodium 4-(tridecan-3-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73602-70-7","3-1949","Sodium 4-(tridecan-3-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73602-71-8","3-1949","Sodium 4-(tridecan-4-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73602-71-8","3-1884","Sodium 4-(tridecan-4-yl)benzenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"73602-71-8","3-1906","Sodium 4-(tridecan-4-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73665-22-2","7-155","Sodium salt of alkyl(C=6-10) ether of alpha-hydro-omega-(sulfooxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"73772-45-9","9-2027","[(3-Decanamidopropyl)(dimethyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73772-45-9","2-1290","[(3-Decanamidopropyl)(dimethyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"73772-45-9","2-2707","[(3-Decanamidopropyl)(dimethyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"73772-46-0","2-2707","[Dimethyl(3-octanamidopropyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"73772-46-0","9-2027","[Dimethyl(3-octanamidopropyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"73772-46-0","2-1290","[Dimethyl(3-octanamidopropyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"73807-15-5","8-311","N,N-Bis(hydroxyethyl) palm kernel oil amides","Priority Assessment Chemical Substances (PACSs)|","O"
"73807-15-5","2-827","N,N-Bis(hydroxyethyl) palm kernel oil amides","Priority Assessment Chemical Substances (PACSs)|","O"
"73807-15-5","2-2503","N,N-Bis(hydroxyethyl) palm kernel oil amides","Priority Assessment Chemical Substances (PACSs)|","O"
"73807-15-5","2-814","N,N-Bis(hydroxyethyl) palm kernel oil amides","Priority Assessment Chemical Substances (PACSs)|","O"
"73807-15-5","7-87","N,N-Bis(hydroxyethyl) palm kernel oil amides","Priority Assessment Chemical Substances (PACSs)|","O"
"74051-86-8","","Compound of 2-aminoethanol and hexadecyl dihydrogen phosphate (2:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"74114-77-5","4-18","2,3',4,4',5'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"74338-23-1","","2,3',5',6-tetrachlorobiphenyl","Class I specified chemical substance","O"
"74338-24-2","","2,3,3',4-tetrachlorobiphenyl","Class I specified chemical substance","O"
"74342-10-2","7-172","2-[2-(2-Nonylphenoxy)ethoxy]ethanol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"74342-10-2","3-589","2-[2-(2-Nonylphenoxy)ethoxy]ethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"74398-41-7","3-2254","Cyclododecane, 1,2,4,6,9,10-hexabromo-","Existing chemical substances|Class I specified chemical substance|","O"
"74472-33-6","","2,3,3',6-tetrachlorobiphenyl","Class I specified chemical substance","O"
"74472-34-7","","2,3,4',5-tetrachlorobiphenyl","Class I specified chemical substance","O"
"74472-35-8","","2,3,3',4,6-pentachlorobiphenyl","Class I specified chemical substance","O"
"74472-36-9","","2,3,3',5,6-pentachlorobiphenyl","Class I specified chemical substance","O"
"74472-37-0","","2,3,4,4',5-pentachlorobiphenyl","Class I specified chemical substance","O"
"74472-38-1","","2,3,4,4',6-pentachlorobiphenyl","Class I specified chemical substance","O"
"74472-39-2","","2,3',4',5',6-pentachlorobiphenyl","Class I specified chemical substance","O"
"74472-40-5","","2,2',3,4,6,6'-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-41-6","","2,2',3,4',5,6'-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-42-7","","2,3,3',4,4',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-43-8","","2,3,3',4,5',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-44-9","","2,3,3',4',5,6-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-45-0","","2,3,3',4',5',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-46-1","","2,3,3',5,5',6-hexachlorobiphenyl","Class I specified chemical substance","O"
"74472-47-2","","2,2',3,4,4',5,6-heptachlorobiphenyl","Class I specified chemical substance","O"
"74472-48-3","","2,2',3,4,4',6,6'-heptachlorobiphenyl","Class I specified chemical substance","O"
"74472-49-4","","2,2',3,4,5,6,6'-heptachlorobiphenyl","Class I specified chemical substance","O"
"74472-50-7","","2,3,3',4,4',5',6-heptachlorobiphenyl","Class I specified chemical substance","O"
"74472-51-8","","2,3,3',4,5,5',6-heptachlorobiphenyl","Class I specified chemical substance","O"
"74472-52-9","","2,2',3,4,4',5,6,6'-octachlorobiphenyl","Class I specified chemical substance","O"
"74472-53-0","","2,3,3',4,4',5,5',6-octachlorobiphenyl","Class I specified chemical substance","O"
"74487-85-7","","2,2',3,4',5,6,6'-heptachlorobiphenyl","Class I specified chemical substance","O"
"75782-86-4","2-217","Alcohols(C=12-13)","Priority Assessment Chemical Substances (PACSs)||","O"
"75782-86-4","2-3704","Alcohols(C=12-13)","Priority Assessment Chemical Substances (PACSs)|","O"
"75782-87-5","2-3704","Alcohols(C=14-15)","Priority Assessment Chemical Substances (PACSs)|","O"
"75782-87-5","2-217","Alcohols(C=14-15)","Priority Assessment Chemical Substances (PACSs)|","O"
"75898-09-8","4-244","1,3-Dimethyl-5-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75898-09-8","4-38","1,3-Dimethyl-5-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75935-83-0","2-3704","2-Isobutyloctan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"75935-83-0","2-217","2-Isobutyloctan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"76144-88-2","2-217","5-Isopropylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"76144-88-2","2-3704","5-Isopropylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"76804-33-6","4-16","1,1'-Biphenyl, 2,4,6-triethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"76842-07-4","","2,3,3',4',5'-pentachlorobiphenyl","Class I specified chemical substance","O"
"77102-82-0","4-18","3,3',4,4'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"77607-09-1","","2,3,3',4,4',5-Hexabromobiphenyl","Class I specified chemical substance","O"
"77910-04-4","4-18","2,2',3,4,6-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"77973-89-8","4-244","1,3-Dimethyl(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"77973-89-8","4-38","1,3-Dimethyl(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78204-56-5","2-1679","Sodium 3,7-dimethyloctyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78204-57-6","2-1679","Sodium 12-methyltridecan-1-yl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"78330-20-8","7-97","Ethoxylated isoalcohols(C=9-11, C=10 rich)","Priority Assessment Chemical Substances (PACSs)|","O"
"78330-21-9","7-97","Ethoxylated isoalcohols(C=11-14, C13 rich)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"78330-29-7","7-155","Sodium salt of isoalkyl(C=9-11, C10 rich) ether of alpha-hydro-omega-(sulfooxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"78568-66-8","","Compound of 2-ethylhexyl hydrogen sulfate and 2,2',2''-nitrilotriethanol (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"79090-61-2","2-3704","(S)-Undecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"79090-61-2","2-217","(S)-Undecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79092-28-7","2-3704","3-Ethyldecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"79092-28-7","2-217","3-Ethyldecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79237-71-1","2-3704","rel-(4R,6R)-4,6-Dimethylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"79237-71-1","2-217","rel-(4R,6R)-4,6-Dimethylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79723-02-7","","Tetramethylammonium hydrogen phthalate","Priority Assessment Chemical Substances (PACSs)||","O"
"79847-79-3","2-3704","(S)-2-Methyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"79847-79-3","2-217","(S)-2-Methyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"79863-58-4","","4-Dodecyl-4-ethylmorpholin-4-ium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"80206-82-2","2-3704","Alcohols(C=12-14)","Priority Assessment Chemical Substances (PACSs)|","O"
"80206-82-2","2-217","Alcohols(C=12-14)","Priority Assessment Chemical Substances (PACSs)|","O"
"80274-92-6","4-18","2,2',4,5,6'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"80407-70-1","4-18","2,3',4,5,5'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"80526-82-5","","Tetramethylammonium hydrogen sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"80698-14-2","2-217","(R)-2-Methyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"80698-14-2","2-3704","(R)-2-Methyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"80867-10-3","","Compound of 2-aminoethanol and 5-methylheptyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"81381-52-4","","2,2',3,4,4',5-Hexabromobiphenyl","Class I specified chemical substance","O"
"81397-99-1","4-18","2,2',4,4',5-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"81628-41-3","","Ammonium pentadecyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"81749-28-2","4-38","1,2-Dimethyl-3-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"81749-28-2","4-244","1,2-Dimethyl-3-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"81749-29-3","4-38","1,3-Dimethyl-2-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"81749-29-3","4-244","1,3-Dimethyl-2-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"81902-33-2","4-18","3,3',4,5,5'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"82147-24-8","2-3704","3,7-Dimethyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"82147-24-8","2-217","3,7-Dimethyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"82684-81-9","","Ethyl(dodecyl)[bis(2-hydroxyethyl)]ammonium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"82703-31-9","","Didecyl(dimethyl)ammonium methyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"82749-56-2","2-3704","(3S,5S)-3-Methylundecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"82749-56-2","2-217","(3S,5S)-3-Methylundecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"82749-57-3","2-217","(3S,5R)-3-Methylundecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"82749-57-3","2-3704","(3S,5R)-3-Methylundecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"82801-62-5","","Compound of 2-aminoethanol and decanedioic acid","Priority Assessment Chemical Substances (PACSs)||","O"
"82865-89-2","","2,2',3,3',4,4'-Hexabromobiphenyl","Class I specified chemical substance","O"
"82865-90-5","","2,2',3,3',4,5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"82865-91-6","","2,3,3',4',5',6-Hexabromobiphenyl","Class I specified chemical substance","O"
"83155-77-5","","Compound of 2,2'-iminodiethanol and C.I. direct yellow 11","Priority Assessment Chemical Substances (PACSs)||","O"
"83474-29-7","2-217","2,4,6-Trimethylnonan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"83474-29-7","2-3704","2,4,6-Trimethylnonan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"84029-41-4","3-446","3,-dinitrotoluene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"84029-42-5","3-446","2,-dinitrotoluene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"84082-38-2","2-68","Chloroalkanes(C=10-21)","Class I specified chemical substance|","O"
"84082-77-9","","C14-18-Alkyl(ethyl)dimethylammonium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"84133-50-6","7-97","Ethoxylated secondary alcohols(C=12-14)","Priority Assessment Chemical Substances (PACSs)|","O"
"84145-60-8","","Compound of dodecanedioic acid with 2-aminoethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"84176-56-7","","Compound of dodecanedioic acid and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"84176-63-6","","Compound of dodecyl hydrogen sulfate and 4-methylpyridine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"84303-45-7","4-18","2,3',4,4'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"84303-46-8","4-18","3,3',4,4',5-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"84303-47-9","","2,3,3',4,4',5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"84303-48-0","","2,3',4,4',5',6-Hexabromobiphenyl","Class I specified chemical substance","O"
